"filename","items[].additionalInfo.DNR","items[].additionalInfo.GW","items[].additionalInfo.LotSN","items[].additionalInfo.capacity","items[].amount","items[].description","items[].extendedPrice","items[].itemNumber","items[].item_code","items[].lineNumber","items[].priceUOM","items[].qtyShipped","items[].tax","items[].total_quantity","items[].transUOM","items[].unitPrice","items[].unit_price","items[].units_ordered","items[].units_shipped","items[].weightNetGross"
"20240415 BSG - East Brother Invoice_INV-0735702.pdf.jpg.json",,,,,0,"Nut Roll - US",,,"XZZZN001",,,,,,,,0,1,,
"20240430 BSG - East Brother Invoice_INV-0740789.pdf.jpg.json",,,,,154.77,"Weyermann® Melanoidin 25 kg",,,"MWEY1019",,,,,,,,51.59,3,,
"20240430 BSG - East Brother Invoice_INV-0740789.pdf.jpg.json",,,,,209.55,"Simpsons Golden Naked Oats® 25 kg",,,"MSIM1071",,,,,,,,69.85,3,,
"20240430 BSG - East Brother Invoice_INV-0740789.pdf.jpg.json",,,,,330,"Celite Std Super Cel-Z- 22.7 k",,,"BZZZ1462",,,,,,,,66,5,,
"20240430 BSG - East Brother Invoice_INV-0740789.pdf.jpg.json",,,,,77,"Calcium Chloride 50 Lb 94-9",,,"BZZZ1306",,,,,,,,77,1,,
"20240430 BSG - East Brother Invoice_INV-0740789.pdf.jpg.json",,,,,0,"Nut Roll - US",,,"XZZZN001",,,,,,,,0,1,,
"20240430 BSG - East Brother Invoice_INV-0740789.pdf.jpg.json",,,,,1011.78,"Weyermann® Pilsner 25 kg",,,"MWEY1003",,,,,,,,48.18,21,,
"20240430 BSG - East Brother Invoice_INV-0740789.pdf.jpg.json",,,,,100.54,"Weyermann® Vienna 25 kg",,,"MWEY1016",,,,,,,,50.27,2,,
"20240522 BSG - Helltown Customer Invoice_INV-0749303-bsg.pdf.jpg.json",,,,,1122,"Amarillo ® 11 lb",,,"HAMA0011",,,,,,,,140.25,8,,
"20240522 BSG - Helltown Customer Invoice_INV-0749303-bsg.pdf.jpg.json",,,,,1318.68,"El Dorado® 11 lb",,,"HELD0011",,,,,,,,109.89,12,,
"20240522 BSG - Helltown Customer Invoice_INV-0749303-bsg.pdf.jpg.json",,,,,1318.68,"Idaho 7™ 11 lb",,,"HIDA0011",,,,,,,,109.89,12,,
"20240522 BSG - Helltown Customer Invoice_INV-0749303-bsg.pdf.jpg.json",,,,,120.89,"Motueka™ 11 lb",,,"HMOT0011",,,,,,,,120.89,1,,
"20240522 BSG - Helltown Customer Invoice_INV-0749303-bsg.pdf.jpg.json",,,,,2043.36,"Sabro® 11 lb/5 kg~D",,,"HSAB0011",,,,,,,,170.28,12,,
"20240523 BSG - Hobbs INV-0749955.pdf.jpg.json",,,,,274.26,"Czech Saaz 11 lb/5 kg",,,"HCSZ0011",,,,,2,"EA",,137.13,,,
"20240531 BSG - Hobbs _INV-0752454.pdf.jpg.json",,,,,579.48,"Weyermann® Barke® Pilsner 25 kg",,,"MWEY1012",,,,,,,,48.29,12,,
"20240531 BSG - Hobbs _INV-0752454.pdf.jpg.json",,,,,784.96,"Weyermann® Barke® Munich 25 kg",,,"MWEY1014",,,,,,,,49.06,16,,
"20240531 BSG - Hobbs _INV-0752454.pdf.jpg.json",,,,,205.04,"Weyermann® Carahell® 25 kg",,,"MWEY1057",,,,,,,,51.26,4,,
"20240531 BSG - Hobbs _INV-0752454.pdf.jpg.json",,,,,87,"Kerry Whirlfloc® T 5 lb",,,"BZZZ1672",,,,,,,,87,1,,
"20240531 BSG - Hobbs _INV-0752454.pdf.jpg.json",,,,,129,"Kerry Fermcap® S 4 kg",,,"BZZZ1500",,,,,,,,129,1,,
"20240531 BSG - Hobbs _INV-0752454.pdf.jpg.json",,,,,47,"Kerry Yeastex® 82  5 lb",,,"BZZZ1911",,,,,,,,47,1,,
"20240531 BSG - Hobbs _INV-0752454.pdf.jpg.json",,,,,0,"Nut Roll - US",,,"XZZZN001",,,,,,,,0,1,,
"20240731 - BSG - Customer Invoice_INV-0774515 - Hobbs.pdf.jpg.json",,,,,186.89,"Nectaron® T90 Hop Pellets - 11 lb",,,"HNEC0011",,,,,,,,186.89,1,,
"20240403 Belmark - Helltown.pdf.jpg.json",,,,,,"Line# 1 Buffy Hazing IPA 12 Pack C","$1591.74",,,,,1.98,,,"M","$803.91/M",,,,
"20240403 Belmark - Helltown.pdf.jpg.json",,,,,,"Line# 2 Mischievous Brown Ale 12 C","$1238.02",,,,,1.54,,,"M","$803.91/M",,,,
"20240403 Belmark - Helltown.pdf.jpg.json",,,,,,"Line# 3 Hazy Pack 12 Count Carton","$4686.80",,,,,5.83,,,"M","$803.91/M",,,,
"20240403 Belmark - Helltown.pdf.jpg.json",,,,,,"Plates/Prepress Charges: 1 Trident Max Item(s)","$600.00",,,,,,,,,"$600.00",,,,
"20240430 Sterling - Barrio 12 pk can carriers.pdf.jpg.json",,,,,7945.25,"Barrio Blonde 12 Pk Cans",,,,,,,,,,803.28,,,,
"20240604 Belmark - Helltown invoices20240604-15pack.pdf.jpg.json",,,,,"$8298.84","LINE# 1 HELL’S DELIGHT LAGER 15 PA",,,,,,"11.0 M",,,,"$754.44/M",,,,
"20240604 Belmark - Helltown invoices20240604-15pack.pdf.jpg.json",,,,,"$600.00","PLATES/PREPRESS CHARGES: 1 TRIDENT MAX ITEM(S)",,,,,,,,,,"$600.00",,,,
"20240604 Belmark - Helltown invoices20240604-15pack.pdf.jpg.json",,,,,"$90.00","PROOF REVISION TIME",,,,,,,,,,,,,,
"20240628 Vessel - Wild State.pdf.jpg.json",,,,,21511.04,"Ends 202 - Crown LOE 10 State BPA-NI",,,,,,,,,,,0.0305,705280,,
"20240628 Vessel - Wild State.pdf.jpg.json",,,,,0,"Dunnage - Crown Pallet",,,,,,,,,,,0,2,,
"20231110 WCP Solutions - East Brother Paktechs and Can Trays.PDF.jpg.json",,,,,4580,"QPCE202260PCR EASY REMV 4PK 202",,,,,,,,,,,114.5,,40,
"20231110 WCP Solutions - East Brother Paktechs and Can Trays.PDF.jpg.json",,,,,2100,"CAN HLDR BLACK 788/CS 40/P
D/C 24 CAN TRAY NICKED 1050/PLT",,,,,,,,,,,0.4,,5,
"20231223 Atlas Labels & Packaging - Laquinta - Can Trays.pdf.jpg.json",,,,,2892.45,"La Quinta Brewing 24 Can Roll End Tray - 3""",,,"LAQUINTACANTRAY",,,,,,"ea",,0.55,5258,,
"20240117 PCA - Urban South Inv10032329.pdf.jpg.json",,,,,9086.29,"CASE TRAY",,,,,,,,,,,211,42000,43063,
"20240117 PCA - Urban South Inv10032329.pdf.jpg.json",,,,,1159.66,"UNPRINTED CASE TRAY",,,,,,,,,,,211,4800,5496,
"20240228 Pratt - ORE_DOCK_BREWING_CO_LLC_INVOICE_502529571_PLANT_Grand_Rapids.pdf.jpg.json",,,,,,"1319BEER TRAY",,,,,,,,,,,311,12600,12808,
"20240604 WCP Solutions - East Brother WCP INV#13662954 for PO#1874.PDF.jpg.json",,,,,2100,"15-3/8X10-7/16X2-15/16 32B KFT",,,"QPCE202260PCR",,,,,,,,2100,5250,5250,
"20240604 WCP Solutions - East Brother WCP INV#13662954 for PO#1874.PDF.jpg.json",,,,,4580,"QPCE4PKBLACK",,,"PCA24CANTRAYSAC",,,,,,,,4580,40,40,
"20240710 Pratt Corrugated - Wild State.pdf.jpg.json",,,,,"$6,589.48","18 PK TRAY (3X6) - PLAIN",,,"Z779552-1",,,,,,,,"$206.25",3000,31949,
"20240710 Pratt Corrugated - Wild State.pdf.jpg.json",,,,,"$5,388.90","24PK - PLAIN",,,"Z779562-1",,,,,,,,"$253.00",2000,21300,
"20240710 Pratt Corrugated - Wild State.pdf.jpg.json",,,,,"$850.00","Freight Charge per Delivery",,,,,,,,,,,,,,
"20230608 - EZUP Canopies - Workhorse-pre IBA program.pdf.jpg.json",,,,,3775,"Express, 10'(3m) Shelter, Alum Frame, Comm Top, Digital",,,"EX10KCFBD",,"EA",,,,,,755,5,5,
"20230608 - EZUP Canopies - Workhorse-pre IBA program.pdf.jpg.json",,,,,475,"Weight Bag, 45 lb. Gray 4 Pack, w/ Black Accents",,,"WB3GYBK4",,"EA",,,,,,95,5,5,
"20240104 Zion Packaing - La Quinta - Digitally Printed Cans.pdf.jpg.json",,,,,933.6,"Digitally Printed Can - 16oz Standard BPANI 202/211 - Crown WO# 41976 16. oz. Una Mas 1 pallet X 8 layers @ 389 Cans = 3,112",,,,,,,,,,,0.3,3112,,
"20240104 Zion Packaing - La Quinta - Digitally Printed Cans.pdf.jpg.json",,,,,70,"Crown Plastic Pallet 44 x 56",,,,,,,,,,,70,1,,
"20240104 Zion Packaing - La Quinta - Digitally Printed Cans.pdf.jpg.json",,,,,32,"Crown Plastic Top Frame 44 x 56",,,,,,,,,,,32,1,,
"20240104 Zion Packaing - La Quinta - Digitally Printed Cans.pdf.jpg.json",,,,,27,"Crown Plastic Tier Sheet 44 x 56",,,,,,,,,,,3,9,,
"20230504 Wildpack - East Brother RIS Invoice_INV-30508837.pdf.jpg.json",,,,,832.46,"Sleeved Cans - East Brother - Russian Imperial Stout Can (Glossy)",,,,,,,,,,,0.2675,,,
"20230504 Wildpack - East Brother RIS Invoice_INV-30508837.pdf.jpg.json",,,,,0,"Freight & Dunnage - Freight - Arranged by Customer",,,,,,,,,,,0,,,
"20230718 Wildpack - East Brother Blonde 6 pallets + 19.2 cans Invoice_INV-30510127.pdf.jpg.json",,,,,2376.79,"East Brother - Bo Pils - 19.2oz Standard Sleeved Can (Ball; Glossy; BPANI)",,,,,,,,,,,0.47,,,
"20230718 Wildpack - East Brother Blonde 6 pallets + 19.2 cans Invoice_INV-30510127.pdf.jpg.json",,,,,2376.79,"East Brother - Gold IPA - 19.2oz Sleeved Can (Ball; Glossy; BPANI)",,,,,,,,,,,0.47,,,
"20230718 Wildpack - East Brother Blonde 6 pallets + 19.2 cans Invoice_INV-30510127.pdf.jpg.json",,,,,9989.52,"East Brother - Blonde Ale - 16oz Standard Sleeved Can (Ball; Glossy; BPANI)",,,,,,,,,,,0.2675,,,
"20230807 Wildpack - East Brother Pub Ale INV-30510463.pdf.jpg.json",,,,,832.46,"Sleeved Cans",,,,,,,,,,,0.2675,3112,,
"20230807 Wildpack - East Brother Pub Ale INV-30510463.pdf.jpg.json",,,,,0,"Freight & Dunnage - Freight arranged by customer",,,,,,,,,,,0,1,,
"20230914 Wildpack - East Brother Baltic Porter INV-30511110.pdf.jpg.json",,,,,832.46,"Sleeved Cans [C16-2510] East Brother - Baltic Porter Can (Glossy)",,,,,,,,,,,0.2675,,,
"20230914 Wildpack - East Brother Baltic Porter INV-30511110.pdf.jpg.json",,,,,0,"Freight [FREIGHT-CUST] Freight - Arranged by Customer",,,,,,,,,,,0,,,
"20231117 Zion Packaging - La Quinta Sleeved Cans.pdf.jpg.json",,,,,1811.18,"WO#41754 Heatwave 16 oz.
2 pallets x 8 layers x 389 cans = 6,224",,,,,,,,,,,0.29,6224,,
"20231117 Zion Packaging - La Quinta Sleeved Cans.pdf.jpg.json",,,,,0,"Dunnage:
Wood / Cardboard / Wood",,,,,,,,,,,0,1,,
"20240410 Wildpack - East Brother.pdf.jpg.json",,,,,2351.51,"Sleeved Cans
East Brother - Bo Pils - 19.2oz Standard Sleeved Can (Ball; Glossy; BPANI)",,,,,,,,,,,0.465,5057,,
"20240410 Wildpack - East Brother.pdf.jpg.json",,,,,0,"Freight - Arranged by Customer",,,,,,,,,,,0,1,,
"20240410 Wildpack - East Brother.pdf.jpg.json",,,,,0,"One-Way Wood Dunnage",,,,,,,,,,,0,2,,
"20240410 Wildpack - East Brother.pdf.jpg.json",,,,,40,"[SHIP-CARDBOARD] Cardboard Pallet Wrap Sheets
Two cardboard wrap sheets required for each finished pallet.",,,,,,,,,,,10,4,,
"20210604 - ZH - Hobbs (2).pdf.jpg.json",,,,,4108.91,"16 oz Aluminum Regular Can NO Print Brite Can",,,,,,,,6,"M",,135.42,,,
"20210604 - ZH - Hobbs (2).pdf.jpg.json",,,,,1040.21,"202 Diameter LOE 10 States - B64 Aluminum Can End",,,,,,,,31200,"Ea",,33.34,,,
"20210604 - ZH - Hobbs (2).pdf.jpg.json",,,,,8,"Pallet Charges (Beverage)",,,,,,,,1,"Ea",,8,,,
"20210604 - ZH - Hobbs.pdf.jpg.json",,,,,4108.91,"16 oz Aluminum Regular Can NO Print Brite Can",,,,,,,,,,,135.42,30342,,
"20210604 - ZH - Hobbs.pdf.jpg.json",,,,,1040.21,"202 Diameter LOE 10 States - B64 Aluminum Can End",,,,,,,,,,,33.34,31200,,
"20210604 - ZH - Hobbs.pdf.jpg.json",,,,,8,"Pallet Charges (Beverage)",,,,,,,,,,,8,1,,
"20210622 - ZH - Hobbs.pdf.jpg.json",,,,,605.65,"Freight Out (Beverage)",,,,,,,,,"Ea","605.65",,1,,
"20210721 - ZH - Hobbs.pdf.jpg.json","FRTOUT-BEV-118",,,"WARD",746.26,"Freight Out (Beverage)",,,,,,1,,,"Ea","746.26",,,,
"20210723 - ZH - Hobbs.pdf.jpg.json",,,,,754.07,"Freight Out (Beverage)",,,,,,,,,,,754.07,1,,
"20220117 - ZH - Hobbs.pdf.jpg.json",,,,,1820.52,"16 oz Aluminum Regular Can NO Print Brite Can",,,"768AL16OZS05-2",,,,,,"M",,180,10114,,
"20220117 - ZH - Hobbs.pdf.jpg.json",,,,,353.67,"202 Diameter LOE 10 States - B64 Aluminum Can End",,,"768AL202ENDS02-12",,,,,,"Ea",,33.34,10608,,
"20220117 - ZH - Hobbs.pdf.jpg.json",,,,,61.61,"Freight Out (Beverage)",,,"FRTOUT-BEV-37",,,,,,"Ea",,61.61,1,,
"20220131 - ZH - Hobbs.pdf.jpg.json",,,,,587.5,"Freight Out (Beverage)",,,,,,,,,,,587.5,,,
"20220211 - ZH - Hobbs.pdf.jpg.json",,,,,1820.52,"16 oz Aluminum Regular Can NO Print Brite Can",,,,,,,,,,,,,,
"20220211 - ZH - Hobbs.pdf.jpg.json",,,,,403.1,"202 Diameter LOE 10 States - B64 Aluminum Can End",,,,,,,,,,,,,,
"20220211 - ZH - Hobbs.pdf.jpg.json",,,,,61.75,"Freight Out (Beverage) UPS",,,,,,,,,,,,,,
"20220217 - ZH - Hobbs.pdf.jpg.json",,,,,280.05,"Freight Out (Beverage)",,,,,,,,,,,280.05,1,,
"20220228 - ZH - Hobbs.pdf.jpg.json",,,,,1820.52,"16 oz Aluminum Regular Can NO Print Brite Can",,,,,,,,,"WM70A","180.00 / M",,10114,,
"20220228 - ZH - Hobbs.pdf.jpg.json",,,,,403.1,"202 Diameter LOE 10 States - B64 Aluminum Can End",,,,,,,,,"624 SLEEVE","38.00 / M",,10608,,
"20220228 - ZH - Hobbs.pdf.jpg.json",,,,,61.9,"Freight Out (Beverage)",,,,,,,,,"Ea","61.90 / Ea",,1,,
"20220324 - ZH - Hobbs (2).pdf.jpg.json",,,"FRTOUT-BEV-102",,282.23,"Freight Out (Beverage)",,,,,,1,,,"Ea","282.23 / Ea",,,,
"20220324 - ZH - Hobbs.pdf.jpg.json",,,,,329.63,"Freight Out (Beverage)",329.63,,,,"unit",1,,,"Ea",,329.63,,,
"20220406 - ZH - Hobbs.pdf.jpg.json",,,,,1931.77,,,,"PL5057",,"M",,,10114,"2",,191,,,
"20220406 - ZH - Hobbs.pdf.jpg.json",,,,,456.14,,,,"768AL202ENDS02-12",,"M",,,10608,"10,608",,43,,,
"20220406 - ZH - Hobbs.pdf.jpg.json",,,,,62.9,,,,"FRTOUT-BEV-37",,"Ea",,,1,"1",,62.9,,,
"20220411 - ZH - Hobbs.pdf.jpg.json",,,,,1931.77,"16 oz Aluminum Regular Brite Can - No Print",,,,,,,,,,,191,,,
"20220411 - ZH - Hobbs.pdf.jpg.json",,,,,456.14,"202 Diameter LOE 10 States - B64 Aluminum Can End",,,,,,,,,,,43,,,
"20220411 - ZH - Hobbs.pdf.jpg.json",,,,,63.42,"Freight Out (Beverage)",,,,,,,,,,,63.42,,,
"20220414 - ZH - Hobbs.pdf.jpg.json",,,,,338.01,"Freight Out (Beverage)",,,"FRTOUT-BEV-102",,,,,,,,338.01,,,
"20220513 - ZH - Hobbs.pdf.jpg.json",,,,,1931.77,"16 oz Aluminum Regular Brite Can - No Print",,,"PL5057",,,,,,,,191,10114,,
"20220513 - ZH - Hobbs.pdf.jpg.json",,,,,413.71,"202 Diameter LOE 10 States - B64 Aluminum Can End",,,"768AL202ENDS02-12",,,,,,,,39,10608,,
"20220513 - ZH - Hobbs.pdf.jpg.json",,,,,64.25,"Freight Out (Beverage)",,,"FRTOUT-BEV-37",,,,,,,,64.25,1,,
"20220523 - ZH - Hobbs.pdf.jpg.json",,,,,359.59,"Freight Out (Beverage)",,,"FRTOUT-BEV-102",1,,,,1,"Ea",,359.59,,,
"20220628 - ZH - Hobbs.pdf.jpg.json",,,,,1931.77,"16 oz Aluminum Regular Brite Can - No Print",,,,,"N/A",,,10114,"PL5057",,191,2,,
"20220628 - ZH - Hobbs.pdf.jpg.json",,,,,413.71,"202 Diameter LOE 10 States - B64 Aluminum Can End",,,,,"624SLEEVE",,,10608,"768AL202ENDS02-12",,39,10608,,
"20220628 - ZH - Hobbs.pdf.jpg.json",,,,,65.3,"Freight Out (Beverage)",,,,,,,,1,"FRTOUT-BEV-37",,65.3,1,,
"20220729 - ZH - Hobbs.pdf.jpg.json",,,,,360.79,"Freight Out (Beverage)",,,,,,,,1,,,"360.79",1,,
"20220805 - ZH - Hobbs.pdf.jpg.json",,,,,1931.77,"16 oz Aluminum Regular Brite Can - No Print",,,,,,,,,,,191,10114,,
"20220805 - ZH - Hobbs.pdf.jpg.json",,,,,413.71,"202 Diameter LOE 10 States - B64 Aluminum Can End",,,,,,,,,,,39,10608,,
"20220805 - ZH - Hobbs.pdf.jpg.json",,,,,64.74,"Freight Out (Beverage)",,,,,,,,,,,64.74,1,,
"20220815 - ZH - Hobbs.pdf.jpg.json",,,,,1931.77,"16 oz Aluminum Regular Brite Can - No Print",,,,,,,,,,,191,10114,,
"20220815 - ZH - Hobbs.pdf.jpg.json",,,,,413.71,"202 Diameter LOE 10 States - B64 Aluminum Can End",,,,,,,,,,,39,10608,,
"20220815 - ZH - Hobbs.pdf.jpg.json",,,,,64.61,"Freight Out (Beverage)",,,,,,,,,,,64.61,1,,
"20220829 - ZH - Hobbs.pdf.jpg.json",,,,,-965.89,"16 oz Aluminum Regular Brite Can - No Print",,,"PL5057",,,,,-5057,,,191,-1,,
"20220927 - ZH - Hobbs.pdf.jpg.json",,,,,"1,931.77","16 oz Aluminum Regular Brite Can - No Print",,,,,,,,,"2","191.00",,,,
"20221028 - ZH - Hobbs.pdf.jpg.json",,,,,1881.2,"16 oz Aluminum Regular Brite Can - No Print",,,,,,,,10114,,"186.00 / M",186,10114,,
"20221231 - ZH - Hobbs.pdf.jpg.json",,,,,1881.2,"SILVER 16 oz Aluminum Regular Brite Can - No Print",,,"PL5057",,,,,10114,,"186.00 / M",,,,
"20230210 - ZH - Hobbs.pdf.jpg.json",,,,"4450AL16OZS01-1",1881.2,"16 oz Aluminum Regular Brite Can - No Print",,,,,,10114,,,,"186.00 / M",,,,
"20230309 - ZH - Hobbs.pdf.jpg.json",,,,,316.65,"Freight Out (Beverage)",,,,,,,,,,,316.65,,1,
"20230315 - ZH - Workhorse.pdf.jpg.json",,,,,11002.37,"202 Diameter LOE 10 States - B64 Aluminum Can End",,,,,,,,289536,,,38,,,
"20230316 - ZH - Hobbs.pdf.jpg.json",,,,,,"16 oz Aluminum Regular Brite Can - No Print","1,881.20",,"PL5057",,,,,,,,186,10114,10,
"20230412 - ZH - Hobbs.pdf.jpg.json",,,,,2821.81,"16 oz Aluminum Regular Brite Can - No Print",,,,,,,,15171,"3",,"186.00 / M",,,
"20230505 - ZH - Hobbs.pdf.jpg.json",,,,,1881.2,"16 oz Aluminum Regular Brite Can - No Print",,,,,,,,,,,"186.00 / M",10114,,
"20230518 - ZH - Hobbs.pdf.jpg.json",,,,,1881.2,"16 oz Aluminum Regular Brite Can - No Print",,,,,,,,,,"186.00 / M",186,,,
"20230524 - ZH - Hobbs.pdf.jpg.json",,,,,3762.41,"16 oz Aluminum Regular Brite Can - No Print",,,"4450AL16OZS01-1",,,,,,,,186,20228,,
"20230629 - ZH - Hobbs.pdf.jpg.json",,,,,940.6,"16 oz Aluminum Regular Brite Can - No Print",,,"4450AL16OZS01-1",,,,,,,,186,5057,,
"20230630 - ZH - Hobbs.pdf.jpg.json",,,,,2821.81,"16 oz Aluminum Regular Brite Can - No Print",,,"PL5057",,,,,15171,,,"186.00 / M",,,
"20230717 - ZH - Hobbs.pdf.jpg.json",,"4450AL16OZS01-1",,,1648.58,"16 oz Aluminum Regular Brite Can - No Print",,,"PL5057",,,,,10114,"2",,"163.00 / M",,,
"20230731 - ZH - Hobbs.pdf.jpg.json",,,,,2472.87,"16 oz Aluminum Regular Brite Can - No Print","2,472.87",,,,,,,"15,171","M",,"163.00 / M",,,
"20230807 - ZH - Hobbs.pdf.jpg.json",,,,"202",2472.87,"16 oz Aluminum Regular Brite Can - No Print",,"PL5057",,,,,,,"3",,"163.00 / M",,15171,
"20230818 - ZH - Hobbs.pdf.jpg.json","PL5057",,,16,1648.58,"16 oz Aluminum Regular Brite Can - No Print","163.00 / M",,,,,,,10114,"M",,163,,,
"20230906 - ZH - Hobbs.pdf.jpg.json",,,,,1648.58,"16 oz Aluminum Regular Brite Can - No Print",,,,,"202",,,10114,"N/A","163",,,,
"20230921 - ZH - Workhorse.pdf.jpg.json",,,,,11002.37,"202 Diameter LOE 10 State -B64 Aluminum Can End- IN245-2023",,,"PL289536",,,,,289536,,,38,,,
"20230929 Wildpack - East Brother Brites (less 10%) INV-30511349.pdf.jpg.json",,,,,931.73,"Brite Cans",,,,,,,,,,,0.1497,6224,,
"20230929 Wildpack - East Brother Brites (less 10%) INV-30511349.pdf.jpg.json",,,,,0,"[FREIGHT-CUST] Freight - Arranged by Customer",,,,,,,,,,,0,1,,
"20230929 Wildpack - East Brother Brites (less 10%) INV-30511349.pdf.jpg.json",,,,,100,"Split Pallet Fee",,,,,,,,,,,100,1,,
"20230929 Wildpack - East Brother Brites (less 10%) INV-30511349.pdf.jpg.json",,,,,40,"Ball - Top Frame",,,,,,,,,,,20,2,,
"20230929 Wildpack - East Brother Brites (less 10%) INV-30511349.pdf.jpg.json",,,,,48.6,"Ball - Tier Sheet",,,,,,,,,,,2.7,18,,
"20230929 Wildpack - East Brother Brites (less 10%) INV-30511349.pdf.jpg.json",,,,,124,"Ball - Pallet",,,,,,,,,,,62,2,,
"20231128 Wildpack - East Brother Brites Invoice_INV-30512699.pdf.jpg.json","Full Pallet Build",,,,1863.47,"Brite Cans",,,,,,,,,,,0.1497,12448,,
"20231128 Wildpack - East Brother Brites Invoice_INV-30512699.pdf.jpg.json",,,,,255.8,"Freight & Dunnage",,,,,,,,,,,,,,
"20240326 Berlin - Helltown.PDF.jpg.json",,,,"BEER CANS 12OZ ALUMINUM, 389 CANS PER LAYER, 21 LAYERS PER PALLET",,"12OZ ALUMINUM BEER CANS - 21 LAYERS PER PALLET",5587.6,"1275849",,1,,,,,"EA",0.114,,,,
"20240326 Berlin - Helltown.PDF.jpg.json",,,,,,"CROWN PLASTIC PALLET 44X56",390,"CROWN-PLASTIC-PLT",,2,,,,,"EA",65,,,,
"20240326 Berlin - Helltown.PDF.jpg.json",,,,,,"CROWN OVERSIZED PLASTIC TOP FRAME 56"" X 44"" X 2""",120,"CROWN-TOPFRAME",,3,,,,,"EA",20,,,,
"20240326 Berlin - Helltown.PDF.jpg.json",,,,,,"CROWN OVERSIZED PLASTIC TIER SHEET 56"" X 44"" X 1""",330,"CROWN-TIERSHEET",,4,,,,,"EA",2.5,,,,
"20240531 Berlin - Helltown OMS1000_70046679-202lids.PDF.jpg.json",,,,,812,"[""202 LOE SILVER ALUM CAN END 10 STATE CTRV BPANI 580/SLEEVE"",""202 LOE SILVER ALUMINUM CAN END 10 STATE CTRV BPANI 580/SLEEVE"",""INCISING DETAIL: HI IA MA ME NY VT 5¢/OR MI 10¢ /CA CRV /CTRV"",""SILVER SHELL/SILVER TAB"",""580EA/SLEEVE; 608 SLEEVES/PLT; 352,640""]",812,,"1323831",1,,20300,,,"EA",,0.04,20300,,
"20231213 Chemco - East Brother Chemicals.pdf.jpg.json",,,,,678.15,"CYCLONE",,,"CH-FL11631-55",,,,,55,,,12.33,,1,
"20231213 Chemco - East Brother Chemicals.pdf.jpg.json",,,,,117.65,"CHEMCO PAA 15",,,"CH-FL99912-5",,,,,5,,,23.53,,1,
"20231213 Chemco - East Brother Chemicals.pdf.jpg.json",,,,,40,"ENERGY/FUEL SURCHARGE",,,"CHG-FUELSCHG",,,,,1,,,40,,1,
"20240108 Chemco - East Brother - Chemicals.pdf.jpg.json",,,,,124.2,"Isopropyl Alcohol 70% Tech",,,"CH-CCCIPA70-36#",,,,,36,,,3.45,1,1,
"20240119 Hawkins - Bauhaus.pdf.jpg.json",,,"00306MNMF",,,"Isopropyl Alcohol 70%","$1,036.22",1997,,1,"GA",1,"N",,"DR","$18.3500",,,,"401.5 LB"
"20240119 Hawkins - Bauhaus.pdf.jpg.json",,,,,,"Freight","$27.50",,,1.01,,1,"N",,"EA","$27.5000",,,,
"20240119 Hawkins - Bauhaus.pdf.jpg.json",,,"780363",,,"Potassium Sorbate/Sod Benzoate","$788.00",62782,,2,"LB",2,"N",,"DG","$8.4731",,,,"93.0 LB"
"20240119 Hawkins - Bauhaus.pdf.jpg.json",,,"774385",,,"Lactic Acid 88% FGN","$935.32",45063,,3,"LB",1,"N",,"DR","$1.6975",,,,"551.0 LB"
"20240126 Hawkins - Bauhaus.pdf.jpg.json",,,"AA-23071275-G",,459,"Citric Acid FCC Anhy Import",,544,,1,"LB",2,"N",,"BG",4.59,,,,
"20240126 Hawkins - Bauhaus.pdf.jpg.json",,,,,27.5,"Fuel Surcharge Freight",,,,1.01,,1,"N",,"EA",27.5,,,,
"20240126 Hawkins - Bauhaus.pdf.jpg.json",,,,,15,"Freight Charge",,499991,,2,"EA",1,"N",,"EA",15,,,,
"20240126 Hawkins - Bauhaus.pdf.jpg.json",,,"781931",,788,"Potassium Sorbate / Sod Benzoate",,62782,,3,"LB",2,"N",,"DG",8.4731,,,,
"20240205 ChemStation Bauhaus.pdf.jpg.json",,,,,49.95,"BREWERY WASH",,,"553008",,,,,,,,9.99,5,5,
"20240205 ChemStation Bauhaus.pdf.jpg.json",,,,,294.4,"BREWERY WASH",,,"30",,,,,,,,3.68,80,80,
"20240205 ChemStation Bauhaus.pdf.jpg.json",,,,,106.94,"Oxydate 35# Pail",,,"OXYDATE 35# PAIL",,,,,,,,106.94,1,1,
"20240207 Hawkins - Bauhaus.pdf.jpg.json",,,,,1415.39,"Berliner Souring Blend",,,"00055379",1,"LB",,"1N",,"DG",,9.8291,,3,"{""Net"":144,""Gross"":159}"
"20240207 Hawkins - Bauhaus.pdf.jpg.json",,,,,27,,,,"Fuel Surcharge",1.01,"EA",,"Freight",,"EA",,27,,1,"{""Net"":1,""Gross"":1}"
"20240207 Hawkins - Bauhaus.pdf.jpg.json",,,,,15,"Freight Charge",,,"000499991",2,"EA",,"N",,"EA",,15,,1,"{""Net"":1,""Gross"":1}"
"20240207 Hawkins - Bauhaus.pdf.jpg.json",,,,,482.74,"Souring Blend",,,"00055371X",3,"LB",,"N",,"DG",,9.8518,,1,"{""Net"":49,""Gross"":54}"
"20240216 - Ace Chemical - Earth Rider - 20240219_Chemi^ll.pdf.jpg.json",,,,,517.29,"55 GAL DR",,,"3459-01",,,,,,,,517.29,,,
